Column Name,Data Type,Description,Example
referral_details_id,Long,Unique identifier for each row in the output dataset,1
referral_id,String,Unique identifier for each referral,962788593e04380982da789b978dcad6
referral_source,String,"Source of the referral (e.g., 'User Sign Up', 'Draft Transaction', 'Lead')",Draft Transaction
referral_source_category,String,"Category of the referral source ('Online', 'Offline', or lead source category)",Offline
referral_at,Timestamp,Local timestamp when the referral was made,2024-05-01T19:22:16.000+07:00
referrer_id,String,Unique identifier of the user who made the referral,2c71c5d66c7e12a0b3c200ba6ed3b78e
referrer_name,String,Name of the user who made the referral,6380232145160dca709cdb11ae47fb2a
referrer_phone_number,String,Phone number of the user who made the referral,87e6571bf783832fffc616a308563e7e
referrer_homeclub,String,Home club of the user who made the referral,PLUIT
referee_id,String,Unique identifier of the user who was referred,09761f520c39620c1fc95b31d2a3047d
referee_name,String,Name of the user who was referred,4bbc7361bafa86ca236399f1029f537f
referee_phone,String,Phone number of the user who was referred,d2c7bbb4e088e23e6612c0f2a95e022b
referral_status,String,"Current status of the referral (e.g., 'Berhasil', 'Menunggu', 'Tidak Berhasil')",Menunggu
num_reward_days,Integer,Number of days granted as a reward for the referral,10
transaction_id,String,Unique identifier of the associated transaction,62afd56341d234457415c97c9c866aa9
transaction_status,String,"Status of the associated transaction (e.g., 'Paid')",Paid
transaction_at,Timestamp,Local timestamp when the transaction occurred,2024-05-03T16:00:59.409+07:00
transaction_location,String,Location where the transaction took place,MAMPANG
transaction_type,String,"Type of the transaction (e.g., 'New')",New
updated_at,Timestamp,Local timestamp when the referral was last updated,2024-05-13T17:30:51.000+07:00
reward_granted_at,Timestamp,Local timestamp when the reward was granted (null if not granted),2024-05-01T19:17:31.000+07:00
is_business_logic_valid,Boolean,Indicates whether the referral meets all business logic criteria,true
